date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
23:07:17	300871/300871	---M--	200	added ('OK')	image/png	date:Wed,%2027%20Sep%202017%2023:44:12%20GMT	https://pioneercoin.com/wp-content/uploads/2017/09/seller-phone.png	C:/My%20Web%20Sites/pcoin/pioneercoin.com/wp-content/uploads/2017/09/seller-phone.png	(from https://pioneercoin.com/)
23:07:28	159761/159761	---M--	200	added ('OK')	image/png	date:Thu,%2028%20Sep%202017%2001:43:26%20GMT	https://pioneercoin.com/wp-content/uploads/2017/09/mobapp-1024x1024.png	C:/My%20Web%20Sites/pcoin/pioneercoin.com/wp-content/uploads/2017/09/mobapp-1024x1024.png	(from https://pioneercoin.com/)
23:07:33	3078/3078	---MC-	200	added ('OK')	image/png	date:Thu,%2003%20May%202018%2003:07:29%20GMT	https://pioneercoin.com/wp-content/plugins/artbees-captcha/generate-captcha.php	C:/My%20Web%20Sites/pcoin/pioneercoin.com/wp-content/plugins/artbees-captcha/generate-captcha.png	(from https://pioneercoin.com/)
23:07:38	68963/68963	---MC-	200	added ('OK')	text/html	date:Thu,%2003%20May%202018%2003:07:34%20GMT	https://pioneercoin.com/how-to-buy-pcoin/	C:/My%20Web%20Sites/pcoin/pioneercoin.com/how-to-buy-pcoin/index.html	(from https://pioneercoin.com/)
23:07:39	207/207	---M--	200	added ('OK')	image/png	date:Thu,%2005%20Oct%202017%2013:02:43%20GMT	http://pioneercoin.com/wp-content/plugins/gtranslate/switcher.png	C:/My%20Web%20Sites/pcoin/pioneercoin.com/wp-content/plugins/gtranslate/switcher.png	(from https://pioneercoin.com/)
23:07:45	69856/69856	---MC-	200	added ('OK')	text/html	date:Thu,%2003%20May%202018%2003:07:40%20GMT	https://pioneercoin.com/mining/	C:/My%20Web%20Sites/pcoin/pioneercoin.com/mining/index.html	(from https://pioneercoin.com/)
23:07:46	208/208	---M--	200	added ('OK')	image/png	date:Thu,%2005%20Oct%202017%2013:02:43%20GMT	http://pioneercoin.com/wp-content/plugins/gtranslate/arrow_down.png	C:/My%20Web%20Sites/pcoin/pioneercoin.com/wp-content/plugins/gtranslate/arrow_down.png	(from https://pioneercoin.com/)
23:07:52	86821/86821	---MC-	200	added ('OK')	text/html	date:Thu,%2003%20May%202018%2003:07:47%20GMT	https://pioneercoin.com/pcoin-wallets/	C:/My%20Web%20Sites/pcoin/pioneercoin.com/pcoin-wallets/index.html	(from https://pioneercoin.com/)
23:07:53	175/175	---M--	200	added ('OK')	image/png	date:Thu,%2005%20Oct%202017%2013:02:43%20GMT	http://pioneercoin.com/wp-content/plugins/gtranslate/arrow_up.png	C:/My%20Web%20Sites/pcoin/pioneercoin.com/wp-content/plugins/gtranslate/arrow_up.png	(from https://pioneercoin.com/)
23:07:59	71262/71262	---MC-	200	added ('OK')	text/html	date:Thu,%2003%20May%202018%2003:07:54%20GMT	https://pioneercoin.com/exchangers/	C:/My%20Web%20Sites/pcoin/pioneercoin.com/exchangers/index.html	(from https://pioneercoin.com/)
23:07:59	707/707	---M--	200	added ('OK')	image/png	date:Thu,%2005%20Oct%202017%2013:02:43%20GMT	http://pioneercoin.com/wp-content/plugins/gtranslate/flags/16/en.png	C:/My%20Web%20Sites/pcoin/pioneercoin.com/wp-content/plugins/gtranslate/flags/16/en.png	(from https://pioneercoin.com/)
23:08:05	65858/65858	---MC-	200	added ('OK')	text/html	date:Thu,%2003%20May%202018%2003:08:01%20GMT	https://pioneercoin.com/self-development-portal/	C:/My%20Web%20Sites/pcoin/pioneercoin.com/self-development-portal/index.html	(from https://pioneercoin.com/)
23:08:06	645/645	---M--	200	added ('OK')	image/png	date:Thu,%2005%20Oct%202017%2013:02:43%20GMT	http://pioneercoin.com/wp-content/plugins/gtranslate/flags/16/ar.png	C:/My%20Web%20Sites/pcoin/pioneercoin.com/wp-content/plugins/gtranslate/flags/16/ar.png	(from https://pioneercoin.com/)
23:08:07	0/0	---MC-	301	error ('Moved%20Permanently')	text/html	date:Thu,%2003%20May%202018%2003:08:07%20GMT	http://pioneercoin.com/index.php/resources/	C:/My%20Web%20Sites/pcoin/pioneercoin.com/index.php/resources/index.html	(from https://pioneercoin.com/)
